# CK2TITLE;EU4TAG;EU4FILE;Comment

# Scandinavia

e_scandinavia;SCA;Scandinavia;Scandinavia Empire
k_sweden;SWE;Sweden;Sweden Kingdom
k_denmark;DAN;Denmark;Denmark Kingdom
k_norway;NOR;Norway;Norway Kingdom
k_finland;FIN;Finland;Finland Kingdom
k_sapmi;SMI;Sami;Sápmi Kingdom
d_sapmi;SMI;Sami;Sápmi Duchy
c_lappland;SMI;Sami;Sápmi County
d_kola;SMI;Sami;Kola Sami Duchy
d_finland;FIN;Finland;Finland Duchy
c_finland;FIN;Finland;Finland County
d_holstein;SHL;Holstein;Holstein Duchy
c_holstein;SHL;Holstein;Holstein County
d_gotland;GOT;Gotland;Gotland Duchy
c_gotland;GOT;Gotland;Gotland County
d_karelia;KRL;Karelia;Karelia Duchy
k_iceland;ICE;Iceland;Iceland Kingdom
d_iceland;ICE;Iceland;Iceland Duchy

# Balkans

e_byzantium;BYZ;ByzantineEmpire;Byzantium Empire
e_bulgaria;BUL;Bulgaria;Bulgaria Empire
k_bulgaria;BUL;Bulgaria;Bulgaria Kingdom
k_croatia;CRO;Croatia;Croatia Kingdom
d_croatia;CRO;Croatia;Croatia Duchy
k_byzantium;GRE;Greece;Greece Kingdom
k_serbia;SER;Serbia;Serbia Kingdom
k_hungary;HUN;Hungary;Hungary Kingdom
k_ottoman;TUR;Ottomans;Ottoman Kingdom
d_osmanli;TUR;Ottomans;Ottoman Duchy
d_achaia;ACH;PrincipalityOfAchaia;Achaia Duchy
d_athens;ATH;Athens;Athens Duchy
c_atheniai;ATH;Athens;Athens County
k_bosnia;BOS;Bosnia;Bosnia Kingdom
d_bosnia;BOS;Bosnia;Bosnia Duchy
k_candia;CRT;Crete;Crete Kingdom
d_krete;CRT;Crete;Crete Duchy
k_cyprus;CYP;Cyprus;Cyprus Kingdom
d_cyprus;CYP;Cyprus;Cyprus Duchy
k_epirus;EPI;Epirus;Epirus Kingdom
d_epirus;EPI;Epirus;Epirus Duchy
c_epeiros;EPI;Epirus;Epirus County
d_knights_hospitaler;KNI;Knights;Knights Hospitaler
d_transylvania;TRA;Transylvania;Transylvania Duchy
k_wallachia;WAL;Wallachia;Wallachia Kingdom
d_wallachia;WAL;Wallachia;Wallachia Duchy
d_aegean_islands;NAX;Naxos;Naxos Duchy
c_naxos;NAX;Naxos;Naxos County
k_ragusa;RAG;Ragusa;Ragusa Kingdom
d_ragusa;RAG;Ragusa;Ragusa Duchy
c_ragusa;RAG;Ragusa;Ragusa County
c_albania;ALB;Albania;Albania County
d_dyrrachion;ALB;Albania;Albania Duchy
c_arbanon;ALB;Albania;Albania County
d_cephalonia;CEP;Corfu;Corfu Duchy
c_cephalonia;CEP;Corfu;Corfu County
c_corfu;CEP;Corfu;Corfu County
d_slovakia;SLO;Slovakia;Slovakia Duchy
d_nyitra;SLO;Slovakia;Slovakia Duchy
c_nitra;SLO;Slovakia;Slovakia County
d_dioclea;MON;Montenegro;Montenegro Duchy
c_zeta;MON;Montenegro;Montenegro County
