#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
saxon;Anglo-Saxon;;;;;;;;;;;;;x
cornish;Cornish;;;;;;;;;;;;;x
pictish;Pictish;;;;;;;;;;;;;x
cumbric;Cumbric;;;;;;;;;;;;;x
langobardisch;Langobard;;;;;;;;;;;;;x
ugricbaltic;Estonian;;;;;;;;;;;;;x
livonian;Livonian;;;;;;;;;;;;;x
bosnian;Bosnian;;;;;;;;;;;;;x
arberian;Albanian;;;;;;;;;;;;;x
serbian;Serbian;;;;;;;;;;;;;x
sicilian;Sicilian;;;;;;;;;;;;;x
sicilian_arabic;Siculo-Arabic;;;;;;;;;;;;;x
pommeranian;Wendish;;;;;;;;;;;;;x
ashkenazi;Ashkenazi;;;;;;;;;;;;;x
crusader_culture;Outremer;;;;;;;;;;;;;x
sephardi;Sephardi;;;;;;;;;;;;;x
irish;Irish;;;;;;;;;;;;;x
scottish;Scottish;;;;;;;;;;;;;x
anglonorse;Anglo-Norse;;;;;;;;;;;;;x
norsegaelic;Norse-Gaelic;;;;;;;;;;;;;x
judaic;Judaic;;;;;;;;;;;;;x
welsh;Welsh;;;;;;;;;;;;;x
norse;Norse;;;;;;;;;;;;;x
norwegian;Norwegian;;;;;;;;;;;;;x
danish;Danish;;;;;;;;;;;;;x
swedish;Swedish;;;;;;;;;;;;;x
gothic;Geatish;;;;;;;;;;;;;x
hungarian;Hungarian;;;;;;;;;;;;;x
karantanci;Carantanian;;;;;;;;;;;;;x
sardinian;Sardinian;;;;;;;;;;;;;x
moravian;Moravian;;;;;;;;;;;;;x
frankish;French;;;;;;;;;;;;;x
norman;Norman;;;;;;;;;;;;;x
basque;Basque;;;;;;;;;;;;;x
castillan;Castilian;;;;;;;;;;;;;x
catalan;Catalan;;;;;;;;;;;;;x
portuguese;Portuguese;;;;;;;;;;;;;x
breton;Breton;;;;;;;;;;;;;x
polish;Polish;;;;;;;;;;;;;x
bohemian;Czech;;;;;;;;;;;;;x
croatian;Croatian;;;;;;;;;;;;;x
bulgarian;Bulgarian;;;;;;;;;;;;;x
prussian;Old Prussian;;;;;;;;;;;;;x
lithuanian;Lithuanian;;;;;;;;;;;;;x
finnish;Finnish;;;;;;;;;;;;;x
lappish;Lappish;;;;;;;;;;;;;x
russian;Russian;;;;;;;;;;;;;x
greek;Greek;;;;;;;;;;;;;x
east_gothic;Gothic;;;;;;;;;;;;;x
armenian;Armenian;;;;;;;;;;;;;x
udi;Udi;;;;;;;;;;;;;x
somali;Somali;;;;;;;;;;;;;x
andalusian_arabic;Andalusian;;;;;;;;;;;;;x
canarian;Guanche;;;;;;;;;;;;;x
umbrian;Umbrian;;;;;;;;;;;;;x
venetian;Venetian;;;;;;;;;;;;;x
tuscan;Tuscan;;;;;;;;;;;;;x
ligurian;Ligurian;;;;;;;;;;;;;x
arpitan;Arpitan;;;;;;;;;;;;;x
italian;Lombard;;;;;;;;;;;;;x
