#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_band_of_the_brave;Brave Band;;;;;;;;;;;;;x
d_band_of_the_brave_adj;Brave Band;;;;;;;;;;;;;x
d_band_of_the_red;Band of the Red;;;;;;;;;;;;;x
d_band_of_the_red_adj;Band of the Red;;;;;;;;;;;;;x
d_jomsvikinger;Jomsvikings;;;;;;;;;;;;;x
d_jomsvikinger_adj;Jomsviking;;;;;;;;;;;;;x
d_black_gang;Arumer Zwarte Hoop;;;;;;;;;;;;;x
d_black_gang_adj;Arumer Zwarte Hoop;;;;;;;;;;;;;x
d_dove_company;Company of the Dove;;;;;;;;;;;;;x
d_dove_company_adj;Company of the Dove;;;;;;;;;;;;;x
d_ulfhedar;Berserkers;;;;;;;;;;;;;x
d_ulfhedar_adj;Berserker;;;;;;;;;;;;;x
d_valr;Slain;;;;;;;;;;;;;x
d_valr_adj;Slain;;;;;;;;;;;;;x
DROTTINN;Lord;;;;;;;;;;;;;x
Styrimadur;Steersman;;;;;;;;;;;;;x
VENTURECAPTAIN;Capitano di Ventura;;;;;;;;;;;;;x
