#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_LECHFELD;Battle of Lechfeld;;;;;;;;;;;;;x
BM_LECHFELD_DESC;For almost a century, the Magyars had encroached upon the eastern border of East Francia, venturing at times even as far as Lotharingia and Italy and threatening the security of the fledgling German kingdom. At last, Otto the Great, upon hearing news of an impending Magyar invasion, mustered his men to make a final defense against the hordes of the greatest military power in Europe. The battle that would ensue would decide the fate of two nations, from the ashes of which would emerge Otto, the restorer of the empire of the Romans and of Charlemagne, and set into motion the establishment of the Christian Apostolic Kingdom of Hungary.;;;;;;;;;;;;;x
BM_AGE_OF_THE_NORMANS;Age of the Normans;;;;;;;;;;;;;x
BM_AGE_OF_THE_NORMANS_DESC;The Normans have recently established an independent county in Byzantine Apulia, and the young William the Bastard is just coming of age in Normandy and beginning to make his mark on the world. Native rule has been restored to England, with Edward the Confessor taking the throne as Magnus the Good of Norway ascends to power in Denmark following the death of Harthacnut, son of Canute the Great. Meanwhile, in the East, the Muslim world is on the brink of war as the Seljuqs rise to power in Khorasan following the Battle of Dandanaqan, turning their eyes to the rich heartlands of Persia and Iraq. The hegemony of the Ghaznavids and the Buyids may soon give way to the rise of a younger and stronger Turkic empire that would transform the face of the Middle East and spark the beginning of a clash of civilizations.;;;;;;;;;;;;;x
BM_SELJUKS_IN_BAGHDAD;The Seljuqs in Baghdad;;;;;;;;;;;;;x
BM_SELJUKS_IN_BAGHDAD_DESC;In January 1055, Tughril of the Seljuq Turks entered Baghdad, capturing the last Buyid emir of Iraq and putting an end to Buyid supremacy over the Sunni caliphate. In welcoming the new protector of the Sunni faith, caliph al-Qa’im bestowed upon Tughril many titles, including “King of East and West” and “Pillar of the State”. Decades of instability during the last decades of the Buyids notwithstanding, Baghdad remains in great peril: surrounded by Shi‘ite rulers sympathetic to the Fatimid caliph in Egypt, the city is under threat of a former Buyid slave general called Basasiri, who is seeking to take over Baghdad in the name of the Fatimid caliph. Tughril’s enemies are many – the fate of Baghdad and that of the fledgling Great Seljuq Empire is far from certain.;;;;;;;;;;;;;x
BM_ISAAC_KOMNENOS;Isaac Komnenos;;;;;;;;;;;;;x
BM_ISAAC_KOMNENOS_DESC;After the Emperor Michael VI managed to alienate the Empire’s leading generals and bungled the defense of the frontier against the Pechenegs to the north and the Seljuqs to the east, the military aristocracy rallied around the young Isaac Komnenos, proclaiming him emperor in the summer of 1057. Isaac immediately sat out to reform the military strength of the Empire and cut much of the frivolous spending of the court to restore strength and order to a rapidly declining Byzantine state. However, enemies abound both within and without, and only time will tell whether his attempts at reform will preserve the rule of the Romans or accelerate its descent into oblivion.;;;;;;;;;;;;;x
BM_HUNGARY;Hungary and Croatia;;;;;;;;;;;;;x
BM_HUNGARY_DESC;The death of Helen the Fair, the childless Queen of Croatia, passes her kingdom on to her brother Ladislaus, King of Hungary. The union of Hungary and Croatia brings strength to the Magyars, but will Ladislaus and this new-formed Balkan union be able to stand the test of time? Elsewhere in the world, Yusuf, the Almoravid Sultan of Mauretania, has begun uniting the peoples of North Africa and southern Iberia. He seeks to contest—and if possible, reverse—the conquests that the kingdoms of León and Castile have managed against the Muslims of Iberia.;;;;;;;;;;;;;x
BM_THE_ISLES;King of Dublin and the Isles;;;;;;;;;;;;;x
BM_THE_ISLES_DESC;Godred Crovan, of both Norwegian and Irish descent, has finally succeeded in expanding his Kingdom of Mann and the Isles to include his birthright, the Kingdom of Dublin. The day of the Norwegian conquerors is over, dead with the failure of Harald Hardrada at Stamford Bridge, but Godred Crovan believes in turning back that clock. From his foothold in Dublin, he seeks to expand and name himself Ard Rí ua Éire, High King of Ireland. But Godred is not without other troubles. He holds lands that Malcolm Dunkeld calls his own, and the Scottish king will not back down from his own birthright easily.;;;;;;;;;;;;;x
BM_NORWAY_1;The Collapse of the Isles;;;;;;;;;;;;;x
BM_NORWAY_1_DESC;The kingdom that Godred Crovan worked his entire life to create is no more. He is dead of the plague and his kingdom has fractured. While King Magnus III of Norway has reasserted hegemony over much of Godred’s old land, Galloway and Dublin have both declared independence from the Norwegian King. The north of Albion lies in flux: will Magnus be able to avenge his defeated grandfather Hardrada and terrorise the shores of Albion once again, or will Edgar, the young King of Scotland, be able to use this transition to his advantage?;;;;;;;;;;;;;x
BM_EDGE_OF_KNIFE;The Edge of the Knife;;;;;;;;;;;;;x
BM_EDGE_OF_KNIFE_DESC;The Western World stands upon the edge of a knife. In Iberia, the Almoravid Sultanate is nearing total victory, with Alfonso of León and Castile barely holding on to the north of Spain, and the kingdoms of Aragon and Navarre and the County of Barcelona barely surviving at the French border. Across the Mediterranean, although the Komnenoi have taken the throne and fight valiantly against the Turk, Sultan Kilij Arslan holds much of Anatolia under his grasp, and looks with greedy eyes toward the independent Armenian Kingdom of Cilicia. Iberia or Anatolia, Castile or Byzantium: will the heathens succeed in breaking the iron walls of Christianity to finally breech the interior of Europe?;;;;;;;;;;;;;x
BM_ANTIOCH;The First Crusade;;;;;;;;;;;;;x
BM_ANTIOCH_DESC;The Levant reels in the aftermath of the bloody conflict that is the First Crusade. In the north, the principalities of Antioch and Edessa vie for superiority, both against the Muslims and each other. The Prince of Antioch, Bohemond, is in constant contention with Toros, the Orthodox Prince of Armenia, whose lands he has usurped. To the south, the infant Kingdom of Jerusalem is balanced against the weakened Fatimid Caliphate, the large Emirate of Damascus, and myriad minor sheikhs dividing it from the princes to the north. Can the Catholics hold out long enough to unify, or must another Crusade be called to secure a Catholic Holy Land?;;;;;;;;;;;;;x
BM_JERUSALEM;Jerusalem at Its Height;;;;;;;;;;;;;x
BM_JERUSALEM_DESC;Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem’s size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Empire to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds…;;;;;;;;;;;;;x
BM_KOMNENOS;Manuel Komnenos;;;;;;;;;;;;;x
BM_KOMNENOS_DESC;Manuel Komnenos reigns in Byzantium, and Hungary looks on in fear. Ever the opportunist, Manuel had long ago concluded a pact with the King of Hungary, Stephen III, whereby Stephen’s brother Béla would be educated at the Imperial court in Constantinople. Manuel had as-of-yet been without legitimate male issue, and intended Béla to be married to his daughter Maria, to eventually rule alongside her as Emperor. Sensing opportunity, however, Manuel decided to move against Stephen and press his son-in-law’s claims on the duchies of Dalmatia and Croatia. With those titles secured, Béla is now a landed vassal of Manuel, and the heir to the Kingdoms of Croatia and Hungary. Although the Komnenos line looks as though it may slip from the Imperial seat unless Manuel takes immediate action, the Byzantine Empire stands to grasp the greatest prize it has had in its sights since the Komnenoi took the throne: the buffer between the Holy Roman and Eastern Roman Empires.;;;;;;;;;;;;;x
BM_SERBIA;Fall of the Komnenoi;;;;;;;;;;;;;x
BM_SERBIA_DESC;The Komnenoi have fallen from the imperial throne, and Byzantium is falling with them. The newly-formed Kingdoms of Serbia and Bulgaria have declared their independence from the Byzantine crown, the Seljuk Sultans of Rum press against the Empire’s restored borders in Anatolia, and an independent Béla III rules in Hungary and Croatia. All of Manuel Komnenos’s dreams have come to naught, but this is a time of opportunity, for those wise enough to see it. Alexios Komnenos, an infant member of the royal Komnenos dynasty, rules in Trebizond. If he can gather support enough to press his claim on Byzantium, the young Komnenos can work to restore the golden age his family’s untimely fall from grace brought to a close.;;;;;;;;;;;;;x
BM_IBERIA;The Iberian Campaign;;;;;;;;;;;;;x
BM_IBERIA_DESC;Iberia is balanced between the Muslims and Christians. In the north the Catholics divide the land between five Kingdoms: Portugal, León, Castile, Navarre, and Aragon. To the south, the Muslims are unified under the powerful Almohad Caliphate. Is this a time of opportunity and growth for the Christians, or has the Almohad Caliph amassed enough power to finally breach Europe proper?;;;;;;;;;;;;;x
BM_TURMOIL_IN_THE_EAST;Turmoil in the East;;;;;;;;;;;;;x
BM_TURMOIL_IN_THE_EAST_DESC;The Fourth Crusade has left Byzantium crippled, and its prior vassal states do not fare much better. Three powerful dukes vie for control of Greece proper, and only one of them is Greek. The hatred between the Latin and Byzantine Empires has not abated, but neither has progress been made toward discovering the final victor in their struggle. Glory and titles are there, for a man strong enough to seize them.;;;;;;;;;;;;;x
BM_FRACTURE;The Fall of Rûm;;;;;;;;;;;;;x
BM_FRACTURE_DESC;Plagued by the Mongols to the east and decadence within itself, the Sultanate of Rûm has collapsed. In its place many beyliks have risen. The Byzantine Empire, labored and barely standing, has recovered Constantinople, but its strength to do more than that is in question. Many other powers have interest in the east, among them Naples and the still-warring dukes in Greece. A great nation must rise from the ashes of Rûm—or Byzantium—and whoever succeeds in unifying the disparate peoples of the Aegean shall have power enough to challenge the gateguard of Europe, Hungary.;;;;;;;;;;;;;x
BM_SWEDEN;Magnus IV;;;;;;;;;;;;;x
BM_SWEDEN_DESC;Magnus IV, by election King of Sweden and by birthright King of Norway, has temporarily united much of Scandinavia under his rule. Unless Magnus proves to be an exceptional King it is unlikely that the union will live beyond him, but there are those who whisper of an Empire of the North, with Magnus I at its head…;;;;;;;;;;;;;x
BM_ITALY;The Italian Campaign;;;;;;;;;;;;;x
BM_ITALY_DESC;The Holy Roman Empire is in decline, and Italy has finally been completely freed from its grasp. Dukes war with counts, mayors with doges. Who will unite Italy—or will Italy be united at all?;;;;;;;;;;;;;x
BM_SALADIN;Saladin;;;;;;;;;;;;;x
BM_SALADIN_DESC;Salah ad-Din Yusuf ibn Ayyub—better known to the Western world as Saladin—has taken the throne of Egypt for his own. Previously the servant of the Emir of Damascus, Nur ad-Din, Saladin has broken with his former benefactor to usurp the rule of Egypt from the Shia Fatimids during a period of crisis, choosing opportunity over longstanding friendship with the Emir, and causing great tension in the Crusader states. Although Saladin is likely to be preoccupied for a time with the Emir of Aleppo, not to mention his own Shia subjects, it is only a matter of time until the holy warrior turns his eyes toward the states of Jerusalem and Antioch…;;;;;;;;;;;;;x
BM_ANARCHY;The Anarchy;;;;;;;;;;;;;x
BM_ANARCHY_DESC;The Anarchy was a period of early English history in which the dynasty of the Norman conqueror William broke down and was replaced by the cadet house of Plantagenet. It began when the second Norman King of England, Henry I, died without legitimate issue. Although Henry attempted to place his daughter Matilda on the throne, the lords of England would not have it. In his daughter’s place, a male descendent of William through the female line, Stephen de Blois, was declared king. Support for Stephen was not absolute, however, and there were many loyalists who sided with Matilda in the succession. Matilda herself was married to the first son of King Fulk of Jerusalem, Geoffrey of Anjou, later to be known as Geoffrey Plantagenet. Geoffrey has managed to conquer Normandy in her name, and the succession crisis between the powerful vassal and the weak King Stephen of England appears to be inevitable.;;;;;;;;;;;;;x
BM_LITHUANIA;House Gediminaitis Restored;;;;;;;;;;;;;x
BM_LITHUANIA_DESC;After the brief reign of the usurper-king Treniota, the people of Lithuania have seen fit to restore the house of King Mindaugas to the throne, establishing his first son Vaišvilkas as Grand Duke. Vaišvilkas has expanded Lithuania to the east, and in so doing has inadvertantly made Lithuania one of the de facto gateguards of Europe alongside the Kingdoms of Poland, Hungary, and Bulgaria, and the Grand Duchy of Novgorod. Although Vaišvilkas’s realm is still relatively small, his pious Christianity buys him time and potential support from other Christian rulers. If he can gain that support and use it to hold off the Mongol horde,the ambitious young Grand Duke of Lithuania might well be able to recover some of his ancestral lands lost to the Teuton knights…;;;;;;;;;;;;;x
BM_HABSBURG;The Habsburgs;;;;;;;;;;;;;x
BM_HABSBURG_DESC;Rudolf of Habsburg, current King of Germany, has put down Ottokar II of Bohemia, his only rival for the Roman-German throne. With Ottokar’s defeat much of his lands have defaulted back to the crown, including the duchy of Austria, which Rudolf has entrusted to his son, Albert. Although the succession is secure and a new age has begun with the Habsburg control of Austria, not all is well in the Empire. The Kingdom of Sicily has broken out of the firm control with which Frederick II held it, and has even begun expanding, conquering much of the coast of Greece and even Provence. Inspired by the succession crisis and Sicily’s success, many small states of northern Italy have declared independence. History calls the Habsburgs one of the most successful houses of the Medieval period, but now they face the potential collapse of the Empire’s control of the Italian peninsula. Stop the collapse, for the glory of the House of Habsburg!;;;;;;;;;;;;;x
BM_PLANTAGENET;Holy Roman Empire in Turmoil;;;;;;;;;;;;;x
BM_PLANTAGENET_DESC;Richard Plantagenet, through bribes to the German electorate, has been elected as King of the Romans. His election is not a simple one, however. It raises serious questions about the future of the Holy Roman Empire. The powerful Plantagenet England is a strong ally of the Emperor—one that he may need, for the Holy Roman Empire is dangerously imbalanced. Conrad of Hohenstaufen, King of Sicily and great-grandson to Frederick Barbarossa, is an independent elector of the Empire, and jealously seeking a return of his family’s titles. His control of the Duchy of Swabia means the Kingdom of Sicily has lands in central Germany, weakening the Empire and making Conrad a valid successor. If danger from outside Kings is not enough, Ottokar II of Bohemia has expanded toward the Adriatic Sea, massing power and support for his own potential election. Can the House of Plantagenet maintain control through another election?;;;;;;;;;;;;;x
BM_CASTILLE;The Union of Castile and León;;;;;;;;;;;;;x
BM_CASTILLE_DESC;Through the deposition and exile of his brothers, Sancho of Castile has come to inherit his family’s divided kingdoms of Galicia and León. With northern Iberia united against the Islamic threat to the south there is greater hope for a Catholic peninsula than before, but nothing is certain. Personal unions can be broken, and Muslims can unite against a common threat just as their Catholic brethren have.;;;;;;;;;;;;;x
BM_LEVANT;Seljuk Conquest of the Levant;;;;;;;;;;;;;x
BM_LEVANT_DESC;Against even other Muslims the Seljuk horde does not stay its hand. Seeking access to critical Mediterranean trade and control over the holy city of Mecca, Malik-Shah I of the Seljuk Empire has declared war upon the Fatimid Caliph al-Mustansir, a war that al-Mustansir has lost. Control of the Levant and the holy cities of Mecca and Medina has passed into Seljuk hands, smashing the balance of power in the east and making the Seljuks one of the most powerful states in Eurasia.;;;;;;;;;;;;;x
BM_KIEV;Kiev and Novgorod;;;;;;;;;;;;;x
BM_KIEV_DESC;For a brief period, the princes of Kiev and Novgorod stand balanced in the frigid north of Russia. Both are powerful and both wish to unite Rus’ in a more permanent union, but only one can succeed. To the south, problems in Byzantium are alleviated by the fracture of the Seljuk royal house between the seat of Persia and Anatolia, but this, too, is an imperfect solution—the Sultanate of Rum is still immensely powerful. Nevertheless, with the immediate pressure of the Seljuk Empire diverted from Byzantine possessions, it may be possible to take advantage of the weakened position of the Fatimid Caliph on the North African coast…;;;;;;;;;;;;;x
BM_ALMORAVID;Islam in Retreat;;;;;;;;;;;;;x
BM_ALMORAVID_DESC;The ascension of a young boy to the throne of the Almoravids in the west has caused a domino effect of rebellions in its Iberian territories, while the Seljuk Empire’s setbacks, accelerated by the Kingdom of Jerusalem and the Qara Khitai battering at its borders, weaken Islam’s might in the east. Now is the time, servants of Christendom, to take up arms joyously in the name of Christ!;;;;;;;;;;;;;x
BM_SELJUK;The Collapse of the Seljuks;;;;;;;;;;;;;x
BM_SELJUK_DESC;In what proved to be a short-lived period of revival, the Seljuk Empire under Sultan Sanjar has fallen into disorder – triggered by Sanjar’s capture by the rebellious Oghuz bands. Myriad ex-vassals, remaining members of the Seljuq family, and opportunists stand poised to fight over the remnants. The Sunni Caliph, former ghulam commanders, and untold emirs, some of them the last remnants of the old Persian elite, all circle the corpse with hunger—who will win the great prize?;;;;;;;;;;;;;x
BM_SICILY;Richard and Philip;;;;;;;;;;;;;x
BM_SICILY_DESC;Richard the Lionheart and Philip II Augustus stare daggers at one another across the Channel. Through inheritance, bribery, betrayal, and timely conquest the kings of England have been able to occupy well over half of the lands claimed by the French kings, and stand dangerously close to claiming the French crown. Philip II, known to history as Augustus, the monarch that reversed the English conquests and restored French unity and prestige, seems to be in an impossible position—can you replicate his incredible feats? Elsewhere in the world, the Holy Roman Emperor has claimed the Kingdom of Sicily as his dynastic birthright.;;;;;;;;;;;;;x
BM_ALEXIOS;Alexios Komnenos of Trebizond;;;;;;;;;;;;;x
